stno,yyyymm,TX01,SS01
467490,202401,17.5,206.5
467490,202402,19.3,184.7
467490,202403,21.1,162.3
467490,202404,26.1,139.2
467490,202405,26.5,125.4
467490,202406,28.8,140.3
467490,202407,29.7,205.1
467490,202408,29.1,186.6
467490,202409,28.4,165.0
467490,202410,27.1,176.6
467490,202411,23.4,173.5
467490,202412,18.3,180.8
467490,202501,16.3,170.3
467490,202502,17.1,142.1
467490,202503,19.7,174.7
467490,202504,23.8,137.1
467490,202505,26.9,161.2
467490,202506,28.9,170.4
467490,202507,28.3,106.7
467490,202508,28.7,188.4
467490,202509,28.7,161.9
467490,202510,27.7,197.3
467490,202511,23.1,170.9
467490,202512,19.9,205.4
